iteration,loss,training_acc,test_acc
209,0.7390789235002786,0.625,0.625
210,0.6721499109449578,0.75,0.75
211,0.6595815133549487,0.75,0.75
212,0.6614875381601,0.75,0.75
213,0.6733760169487548,0.75,0.75
214,0.6518512724934273,0.765625,0.8125
215,0.6691192970593218,0.6875,0.6875
216,0.6532513029609712,0.75,0.75
217,0.6513341658972196,0.75,0.75
218,0.6367968916949303,0.75,0.75
219,0.655623230375951,0.734375,0.6875
220,0.6355753025134363,0.75,0.75
221,0.6526715439046924,0.75,0.75
222,0.6418527926861785,0.75,0.75
223,0.6517991835461827,0.75,0.75
224,0.6340458704223211,0.765625,0.75
225,0.6466028662650056,0.75,0.75
226,0.6340045052689721,0.75,0.75
227,0.6444453117695319,0.734375,0.75
228,0.642967137469911,0.6875,0.8125
229,0.660305352809164,0.75,0.75
230,0.6270609835117171,0.75,0.75
231,0.6313701920286005,0.65625,0.75
232,0.6225291431814417,0.75,0.75
233,0.6258640861765002,0.75,0.75
234,0.6215073124263062,0.734375,0.75
235,0.6269908087259599,0.75,0.75
236,0.6321887703808228,0.75,0.75
237,0.6289768828445542,0.671875,0.75
238,0.6236466980071566,0.75,0.75
239,0.6232615324683676,0.75,0.8125
240,0.6237009578697899,0.75,0.75
241,0.6587906971443738,0.71875,0.6875
242,0.6199427843965674,0.71875,0.75
243,0.6351354056587486,0.734375,0.625
244,0.6169810020535968,0.75,0.75
245,0.6282142608445724,0.734375,0.75
246,0.6170584262587819,0.75,0.75
247,0.6177507906068516,0.75,0.75
248,0.6169810020535971,0.75,0.75
249,0.6238680454995948,0.75,0.75
250,0.624834963776295,0.75,0.75
251,0.6201482589283126,0.75,0.75
252,0.6238774507769695,0.75,0.75
253,0.6378348280483154,0.75,0.75
254,0.6154476098640864,0.75,0.75
255,0.6148499759083899,0.703125,0.6875
256,0.5902347267272596,0.703125,0.75
257,0.5924399724095761,0.75,0.75
258,0.5902347267272596,0.703125,0.75
259,0.6060997398456283,0.734375,0.75
260,0.5902347267272593,0.703125,0.75
261,0.6047021263683316,0.75,0.75
262,0.5902347267272594,0.703125,0.75
263,0.6257846486943464,0.75,0.75
264,0.6127739919529123,0.75,0.75
265,0.6042413317519251,0.734375,0.75
266,0.5902347267272594,0.703125,0.75
267,0.5870106138814501,0.734375,0.75
268,0.5867942044759564,0.71875,0.75
269,0.6337640973429818,0.75,0.75
270,0.589324578365338,0.734375,0.8125
271,0.5968067354323294,0.765625,0.75
272,0.58986641053449,0.734375,0.8125
273,0.6068121934327085,0.765625,0.8125
274,0.5917209644223049,0.734375,0.8125
275,0.5945476114201957,0.75,0.8125
276,0.5863853231706884,0.734375,0.75
277,0.6075783464200817,0.75,0.75
278,0.5865370689705215,0.71875,0.75
279,0.6031715227805933,0.75,0.75
280,0.5869166432409922,0.734375,0.75
281,0.6294246514882939,0.734375,0.75
282,0.5847139263910266,0.75,0.75
283,0.5959262788658902,0.75,0.75
284,0.5914349863266251,0.75,0.75
285,0.6021389807874473,0.75,0.75
286,0.5897961592638621,0.734375,0.8125
287,0.5729988573344886,0.75,0.75
288,0.5777953664111282,0.75,0.75
289,0.6103371911038966,0.75,0.75
290,0.5692993045272001,0.75,0.75
291,0.5771625617979328,0.75,0.75
292,0.5674498811050259,0.75,0.75
293,0.577420474785068,0.75,0.75
294,0.5725617399811739,0.6875,0.875
295,0.5806562380859066,0.765625,0.8125
296,0.5676500252364525,0.75,0.75
297,0.5588480663088321,0.75,0.75
298,0.5558236572521198,0.75,0.75
299,0.5548050267034116,0.75,0.75
300,0.5591643826557261,0.75,0.75
301,0.559667232406764,0.75,0.75
302,0.5538180642153383,0.75,0.75
303,0.5776547875683595,0.75,0.75
304,0.5620727131307444,0.75,0.75
305,0.5482636803016729,0.75,0.75
306,0.5590616024445352,0.75,0.75
307,0.5611579587256852,0.75,0.75
308,0.5521980366145558,0.75,0.75
309,0.5771106081335945,0.75,0.75
