iteration,loss,training_acc,test_acc
221,0.7597262674703951,0.75,0.75
222,0.7649694320150978,0.75,0.75
223,0.7516695652119731,0.75,0.75
224,0.7505178140969273,0.75,0.75
225,0.7491674979506622,0.75,0.75
226,0.7706556290869795,0.75,0.75
227,0.7485645390269104,0.75,0.75
228,0.7556935845805637,0.75,0.75
229,0.7511568788900191,0.75,0.75
230,0.75426416147077,0.75,0.75
231,0.7500758990865583,0.75,0.75
232,0.7511298750175938,0.75,0.75
233,0.7514591684141603,0.75,0.75
234,0.7675497583541142,0.75,0.75
235,0.749937012340951,0.75,0.75
236,0.7518786008170997,0.75,0.75
237,0.7511053626483428,0.75,0.75
238,0.7517729165338733,0.75,0.6875
239,0.7513631547747276,0.75,0.75
240,0.7641758912272576,0.75,0.75
241,0.7511406549846089,0.75,0.75
242,0.7532215225396939,0.75,0.75
243,0.7491106228033402,0.75,0.75
244,0.7653724413109436,0.75,0.75
245,0.7542191293528111,0.75,0.75
246,0.7630668223312869,0.75,0.75
247,0.755527435923627,0.75,0.75
248,0.7579457126950613,0.75,0.75
249,0.7623348785722983,0.75,0.75
250,0.7615702269335789,0.75,0.75
251,0.7585787279065462,0.75,0.75
252,0.7450113385972559,0.75,0.75
253,0.7505793366633975,0.75,0.75
254,0.7570964898653314,0.75,0.75
255,0.7468810510717321,0.75,0.75
256,0.7594938271756181,0.765625,0.8125
257,0.7467893458023829,0.75,0.75
258,0.7528287285973024,0.75,0.75
259,0.7418874622501781,0.75,0.75
260,0.7544776717577821,0.75,0.75
261,0.7416888351304228,0.75,0.75
262,0.7718368823570478,0.75,0.75
263,0.7403945450750049,0.75,0.75
264,0.7552195315354654,0.859375,0.875
265,0.7422038008993721,0.75,0.75
266,0.735027695870703,0.75,0.75
267,0.7324370622906162,0.75,0.75
268,0.7481659162881367,0.75,0.6875
269,0.7328369269177879,0.75,0.8125
270,0.7367711714600423,0.75,0.8125
271,0.738965200813805,0.75,0.75
272,0.732732402546671,0.734375,0.8125
273,0.7319623821925672,0.75,0.8125
274,0.736726425794108,0.828125,0.75
275,0.7316896532948332,0.75,0.75
276,0.732035699728429,0.765625,0.8125
277,0.7313418213406542,0.75,0.75
278,0.7395401425496717,0.75,0.75
279,0.7346765245919196,0.828125,0.875
280,0.7304269937943417,0.75,0.75
281,0.7306134282515844,0.75,0.75
282,0.7393277448500315,0.90625,0.9375
283,0.7308899365673704,0.75,0.75
284,0.7454867981159565,0.75,0.75
285,0.734245277542914,0.75,0.75
286,0.7449457002763737,0.765625,0.8125
287,0.7320344368530904,0.75,0.75
288,0.7182775832066983,0.75,0.75
289,0.7201671401641507,0.75,0.75
290,0.7328324883440147,0.75,0.75
291,0.7143307974968223,0.75,0.75
292,0.7154968651785345,0.84375,0.9375
293,0.7084962356165521,0.75,0.75
294,0.7009937904026593,0.75,0.75
295,0.6979769434821692,0.75,0.75
296,0.7057568804987824,0.90625,0.9375
297,0.702247947783901,0.75,0.75
298,0.7085935258820598,0.75,0.75
299,0.7138827144906492,0.75,0.75
300,0.6983667722241891,0.75,0.75
301,0.6979110328134934,0.75,0.75
302,0.7188371145750643,0.75,0.75
303,0.6959627621790714,0.796875,0.8125
304,0.7145509817973337,0.8125,0.8125
305,0.6907138078197852,0.75,0.75
306,0.7222462866751421,0.75,0.75
307,0.6906989778730771,0.75,0.75
308,0.7069497609354116,0.75,0.75
309,0.6916427460121245,0.75,0.75
310,0.6970608307136608,0.75,0.75
311,0.6920497591820549,0.75,0.75
312,0.6964830580888358,0.75,0.75
313,0.6905038747701835,0.75,0.75
314,0.6975062157729872,0.75,0.75
315,0.6894795035884473,0.75,0.75
316,0.6906215218371458,0.75,0.75
317,0.694150278994548,0.75,0.75
318,0.6952409410327257,0.75,0.75
319,0.6848347155950052,0.75,0.75
320,0.698114150568222,0.75,0.75
321,0.6940958292813544,0.75,0.75
322,0.7005811330919063,0.75,0.75
323,0.6818427404235747,0.75,0.75
324,0.6990105064706982,0.75,0.75
325,0.6818276504541558,0.75,0.75
326,0.6997179722900985,0.75,0.75
327,0.6894788967925931,0.75,0.75
328,0.69473504750402,0.765625,0.75
329,0.6914070299555743,0.875,0.9375
330,0.7041860655246677,0.84375,0.875
331,0.6829799811572579,0.75,0.75
332,0.6982138846965065,0.75,0.75
333,0.68228539933548,0.75,0.75
334,0.684822439987463,0.75,0.75
335,0.6826969287743491,0.75,0.75
336,0.6846173591504068,0.75,0.75
337,0.6844171654811538,0.75,0.75
338,0.70261954196481,0.75,0.75
339,0.6829613014321214,0.75,0.75
340,0.7089798273851718,0.75,0.75
341,0.6806823350185038,0.75,0.75
342,0.6761016395033681,0.78125,0.8125
343,0.6763019003664108,0.8125,0.8125
344,0.6860683161247869,0.75,0.75
345,0.6757549782309191,0.90625,0.9375
346,0.6735214367385076,0.75,0.75
347,0.6772689164068342,0.75,0.75
348,0.6851362857002155,0.75,0.75
349,0.6746591217430936,0.75,0.75
350,0.6761761134335078,0.890625,0.9375
351,0.6724824023945226,0.75,0.75
352,0.6745335282928049,0.75,0.75
353,0.6775261073976815,0.75,0.75
354,0.6891194011274315,0.765625,0.8125
355,0.6713005876221887,0.75,0.75
356,0.6880817811419299,0.75,0.75
357,0.6794010667310291,0.75,0.75
358,0.6984015081897005,0.75,0.75
359,0.6755808147902868,0.75,0.75
360,0.6854124686868812,0.75,0.75
361,0.6833195846498317,0.75,0.8125
362,0.6824523849614154,0.765625,0.8125
363,0.6753598296257687,0.8125,0.875
364,0.6813669538924458,0.75,0.75
365,0.6702600608801018,0.75,0.75
366,0.6886461491471186,0.84375,0.875
367,0.6696125046099388,0.75,0.75
368,0.6762006382436816,0.75,0.75
369,0.6699915998236816,0.75,0.75
370,0.6765310901050211,0.75,0.75
371,0.6648491012437252,0.75,0.75
372,0.6713883494322148,0.75,0.75
373,0.6669598433521045,0.75,0.75
374,0.683960746798811,0.765625,0.875
375,0.6706466262477143,0.75,0.75
376,0.6707858034736816,0.75,0.75
377,0.6614820642927536,0.75,0.75
378,0.6787182286054276,0.75,0.75
379,0.6631691941255515,0.75,0.75
380,0.6815441683953223,0.75,0.75
381,0.6629177076176689,0.75,0.75
382,0.6860528202767794,0.75,0.75
383,0.6643246049253524,0.75,0.75
384,0.6746851266494578,0.75,0.75
385,0.6623005011625231,0.75,0.75
386,0.6836463786922338,0.75,0.75
387,0.6655405133920085,0.75,0.75
388,0.6872825035812815,0.75,0.75
389,0.6664276137270939,0.75,0.75
390,0.6707622913388316,0.75,0.75
391,0.661116698329417,0.75,0.75
392,0.666573327513452,0.75,0.75
393,0.6605736374270489,0.75,0.75
394,0.672094714293705,0.75,0.75
395,0.6613404333896147,0.75,0.75
396,0.6852205794203324,0.75,0.75
397,0.6592984724047186,0.75,0.75
398,0.6959135729044092,0.75,0.75
399,0.6622258196903582,0.75,0.75
400,0.6647571458910245,0.75,0.75
401,0.6607809573587903,0.75,0.75
402,0.6653420629001947,0.75,0.75
403,0.6587138574043083,0.75,0.75
404,0.6700073606101243,0.75,0.75
405,0.6591368387559686,0.75,0.75
406,0.6916208634266084,0.75,0.75
407,0.660159933824199,0.75,0.75
408,0.6673614219945523,0.75,0.75
409,0.6602647578102496,0.75,0.75
410,0.6796438868774063,0.75,0.75
411,0.6618885325245117,0.75,0.75
412,0.6720789973974677,0.75,0.75
413,0.6592458343115677,0.75,0.75
414,0.6680233699100873,0.75,0.75
415,0.66619008393333,0.75,0.75
416,0.6648521500472999,0.75,0.75
417,0.6604015457219689,0.75,0.75
418,0.6632561199477058,0.75,0.75
419,0.6616189787081492,0.75,0.75
420,0.6611282417861751,0.75,0.75
421,0.6614025400951994,0.75,0.75
422,0.6645319483224889,0.75,0.75
423,0.6607237606452162,0.75,0.75
424,0.6680520572966607,0.75,0.75
425,0.6559836498177851,0.75,0.75
426,0.6559250466353859,0.75,0.75
427,0.6546238296767637,0.75,0.75
428,0.653673129855213,0.75,0.75
429,0.6507004890766649,0.75,0.75
430,0.6508548438129603,0.75,0.75
431,0.6515076511119416,0.75,0.75
432,0.6506788661623489,0.75,0.75
433,0.6575900913144082,0.75,0.75
434,0.6521636927925767,0.75,0.75
435,0.6574669203122423,0.75,0.75
436,0.6538491846987416,0.75,0.75
437,0.6496865630919926,0.75,0.75
438,0.651259766015705,0.75,0.75
439,0.6505101272585,0.75,0.75
440,0.6483279294863431,0.75,0.75
441,0.6518368716693554,0.75,0.75
442,0.6505151885104838,0.75,0.75
443,0.6467103921112902,0.75,0.75
444,0.6468308341226651,0.75,0.75
445,0.6485167724960743,0.75,0.75
446,0.6487297004013706,0.75,0.75
447,0.6447864302145297,0.75,0.75
448,0.6438000575091414,0.75,0.75
449,0.6522964112674443,0.75,0.75
450,0.6445672971227565,0.75,0.75
451,0.653357824299706,0.75,0.75
452,0.6436444625687314,0.75,0.75
453,0.6513871547742462,0.75,0.75
454,0.6450402542629846,0.75,0.75
455,0.6478877775318576,0.75,0.75
456,0.6427159353102386,0.75,0.75
457,0.6440438521838688,0.75,0.75
458,0.6420763578181874,0.75,0.75
459,0.641825041575653,0.75,0.75
460,0.6420519674679181,0.75,0.75
461,0.6436433199611206,0.75,0.75
462,0.641532367873473,0.75,0.75
463,0.6407817412703728,0.75,0.75
464,0.6410862988845745,0.75,0.75
465,0.6392531461809998,0.75,0.75
466,0.6390571666498255,0.75,0.75
467,0.6459836829904991,0.75,0.75
468,0.6387836486305598,0.75,0.75
469,0.6369407172777144,0.75,0.75
470,0.6422456525952576,0.75,0.75
471,0.6363546822601984,0.75,0.75
472,0.6375722161068058,0.75,0.75
473,0.6347328262330356,0.75,0.75
474,0.6355886257195771,0.75,0.75
475,0.6299026530586262,0.75,0.75
476,0.6297900204686913,0.75,0.75
477,0.6310385083351437,0.75,0.75
478,0.6305162988298572,0.75,0.75
479,0.6314033260749685,0.75,0.75
480,0.6328010187141782,0.75,0.75
481,0.6301878996857555,0.75,0.75
482,0.6294157857523336,0.75,0.75
483,0.6291531470466438,0.75,0.75
484,0.628325583376277,0.75,0.75
485,0.631968533474648,0.75,0.75
486,0.631337905598436,0.75,0.75
487,0.6269198549776821,0.75,0.75
488,0.6267818172720638,0.75,0.75
489,0.6297391304751684,0.75,0.75
490,0.6272895596971693,0.75,0.75
491,0.6312227562876438,0.75,0.75
492,0.6269735695775667,0.75,0.75
493,0.6315453920595269,0.875,0.9375
494,0.6243341155535991,0.75,0.75
495,0.6278735496710874,0.78125,0.8125
496,0.6242386138456342,0.75,0.75
497,0.6289390341125373,0.75,0.75
498,0.6246374295952435,0.75,0.75
499,0.6301094195109369,0.75,0.75
500,0.6241930686228583,0.75,0.75
501,0.6278902827475226,0.75,0.75
502,0.6236127453637188,0.75,0.75
503,0.6228684835407589,0.75,0.75
504,0.6222155004622565,0.75,0.75
505,0.6273854345002099,0.75,0.75
506,0.6242859135042811,0.75,0.75
507,0.6285681465424239,0.75,0.75
508,0.6236965109421735,0.75,0.75
509,0.6207886791334422,0.75,0.75
510,0.6214900860915291,0.75,0.75
511,0.624430306402328,0.75,0.75
512,0.6228004471772233,0.75,0.75
513,0.6206064046800119,0.75,0.75
514,0.6217226155098848,0.75,0.75
515,0.6232142187919217,0.75,0.75
516,0.6226733168374774,0.75,0.75
517,0.6230248888161293,0.75,0.75
518,0.6198779256516975,0.75,0.75
519,0.624844721878935,0.75,0.75
520,0.6196238620428345,0.75,0.75
521,0.6245826521401452,0.75,0.75
522,0.6241264490761627,0.75,0.75
523,0.6194006714214633,0.75,0.75
524,0.6221229130860193,0.75,0.75
525,0.617273532836631,0.75,0.75
526,0.6207452386431408,0.75,0.75
527,0.622407178847505,0.75,0.75
528,0.6214031010006109,0.75,0.75
529,0.6218257581968633,0.75,0.75
530,0.6192551685570168,0.75,0.75
531,0.6184743024815234,0.75,0.75
532,0.6166921956526277,0.75,0.75
533,0.6164899559798114,0.75,0.75
534,0.6162103834615398,0.75,0.75
535,0.6163966552356044,0.75,0.75
536,0.6169624205198632,0.75,0.75
537,0.6209176248267658,0.75,0.75
538,0.6175494116142692,0.75,0.75
539,0.6161818069430439,0.75,0.75
540,0.6204096505545516,0.75,0.75
541,0.6177059969397929,0.75,0.75
542,0.6181270723368126,0.75,0.75
